PARK,BOROUGH,QUARTER,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
HIGHBRIDGE PARK MANHATTAN SIDE,MANHATTAN,1,130.1,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
CROTONA PARK,BRONX,1,127.5,ONE ACRE OR LARGER,0,0,1,1,0,5,0,7
PAERDEGAT BASIN PARK,BROOKLYN,1,118.795,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HOOK CREEK PARK,QUEENS,1,111.163,ONE ACRE OR LARGER,0,0,,0,0,0,0,0
CRESCENT BEACH PARK,STATEN ISLAND,1,110.96,ONE ACRE OR LARGER,0,0,,0,0,0,0,0
CLEARVIEW PARK GOLF COURSE,QUEENS,1,110.93,ONE ACRE OR LARGER,0,0,,0,0,0,0,0
BAISLEY POND PARK,QUEENS,1,109.609,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
PELHAM PARKWAY,BRONX,1,108.91,ONE ACRE OR LARGER,0,0,,0,0,0,0,0
PRALLS ISLAND,STATEN ISLAND,1,107.514,ONE ACRE OR LARGER,0,0,,0,0,0,0,0
MARINERS MARSH PARK,STATEN ISLAND,1,107.2,ONE ACRE OR LARGER,0,0,,0,0,0,0,0
DOUGLASTON PARK GOLF COURSE,QUEENS,1,104.6,ONE ACRE OR LARGER,0,0,,0,0,0,0,0
LEMON CREEK PARK,STATEN ISLAND,1,104.545,ONE ACRE OR LARGER,0,0,,0,0,0,0,0
SPRING CREEK PARK,BROOKLYN/QUEENS,1,99.566,ONE ACRE OR LARGER,0,0,,0,0,0,0,0
HIGH ROCK PARK,STATEN ISLAND,1,94.1,ONE ACRE OR LARGER,0,0,,0,0,0,0,0
LONG POND PARK,STATEN ISLAND,1,91.948,ONE ACRE OR LARGER,0,0,,0,0,0,0,0
BROOKVILLE PARK,QUEENS,1,89.946,ONE ACRE OR LARGER,0,0,,0,0,0,0,0
ISLE OF MEADOWS,STATEN ISLAND,1,87.516,ONE ACRE OR LARGER,0,0,,0,0,0,0,0
CALVERT VAUX PARK,BROOKLYN,1,85.527,ONE ACRE OR LARGER,0,0,,0,0,0,0,0
PUGSLEY CREEK PARK,BRONX,1,83.615,ONE ACRE OR LARGER,0,0,,0,0,0,0,0
SNUG HARBOR CULTURAL CENTER,STATEN ISLAND,1,83.3,ONE ACRE OR LARGER,0,0,,0,0,0,0,0
MOSHOLU PARKWAY,BRONX,1,80.936,ONE ACRE OR LARGER,0,0,,0,0,0,0,0
MCGUIRE FIELDS,BROOKLYN,1,77.181,ONE ACRE OR LARGER,0,0,,0,0,0,0,0
FRESH CREEK NATURE PRESERVE,BROOKLYN,1,77.044,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JACKIE ROBINSON PARKWAY,BROOKLYN/QUEENS,1,72.75,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FORT TRYON PARK,MANHATTAN,1,67.213,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RIVERSIDE PARK SOUTH,MANHATTAN,1,66.693,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EASTERN PARKWAY,BROOKLYN,1,65.7,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FOUR SPARROW MARSH,BROOKLYN,1,64.665,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FORT TOTTEN PARK,QUEENS,1,60.394,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ASTORIA PARK,QUEENS,1,59.956,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LAURELTON PARKWAY,QUEENS,1,59.612,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RED HOOK RECREATION AREA,BROOKLYN,1,58.503,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SHORE PARK AND PARKWAY,BROOKLYN,1,58,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SPRING CREEK PARK ADDITION,BROOKLYN/QUEENS,1,57.921,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JUNIPER VALLEY PARK,QUEENS,1,55.639,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LITTLE BAY PARK,QUEENS,1,55.22,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
POWELL'S COVE PARK,QUEENS,1,55.023,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HENRY HUDSON PARKWAY,BRONX,1,54.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HARLEM RIVER PARK,MANHATTAN,1,53.967,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DUBOS POINT WILDLIFE SANCTUARY,QUEENS,1,53.298,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ROY WILKINS RECREATION CENTER,QUEENS,1,53.238,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
REED'S BASKET WILLOW SWAMP PARK,STATEN ISLAND,1,52.375,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BROOKLYN BOTANIC GARDEN,BROOKLYN,1,47.57,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MEREDITH WOODS,STATEN ISLAND,1,47.521,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
QUEENS FARM PARK,QUEENS,1,47.08,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EAST RIVER PARK,MANHATTAN,1,45.88,ONE ACRE OR LARGER,0,0,0,0,0,2,0,2
CROCHERON PARK,QUEENS,1,45.79,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MACOMBS DAM PARK,BRONX,1,44.174,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
MANHATTAN BEACH PARK,BROOKLYN,1,42.941,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UDALL'S PARK PRESERVE,QUEENS,1,42.768,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FAIRVIEW PARK,STATEN ISLAND,1,42.6,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BAYSWATER PARK,QUEENS,1,40.07,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DEERE PARK,STATEN ISLAND,1,39.779,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PARADE GROUND,BROOKLYN,1,39.5,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CLAREMONT PARK,BRONX,1,38.536,ONE ACRE OR LARGER,0,0,3,0,0,0,0,3
BROAD CHANNEL WETLANDS,QUEENS,1,37.95,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CONEY ISLAND BOAT BASIN,BROOKLYN,1,36.81,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BUNKER PONDS PARK,STATEN ISLAND,1,36.691,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SETON FALLS PARK,BRONX,1,35.771,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MCCARREN PARK,BROOKLYN,1,35.713,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ST. MARY'S PARK BRONX,BRONX,1,35.311,ONE ACRE OR LARGER,0,0,1,2,0,0,0,3
SHOOTERS ISLAND,STATEN ISLAND,1,34.689,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NORTH BROTHER ISLAND,BRONX,1,30.395,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FORT GREENE PARK,BROOKLYN,1,30.168,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BATTERY PARK CITY,MANHATTAN,1,29.99,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MORNINGSIDE PARK,MANHATTAN,1,29.888,ONE ACRE OR LARGER,0,0,2,1,0,0,0,3
MACNEIL PARK,QUEENS,1,28.87,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ALLEY ATHLETIC PLAYGROUND,QUEENS,1,27.531,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
VERNAM BARBADOES PENINSULA,QUEENS,1,27.484,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
COLLEGE POINT FIELDS,QUEENS,1,26.83,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
KAISER PARK,BROOKLYN,1,26.257,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SUNSET PARK,BROOKLYN,1,24.498,ONE ACRE OR LARGER,0,0,2,0,0,0,0,2
OWL'S HEAD PARK,BROOKLYN,1,24.218,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SPRINGFIELD PARK,QUEENS,1,23.543,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RECREATIONAL AREA,MANHATTAN,1,23.093,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
KING FISHER PARK,STATEN ISLAND,1,23.01,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SIEDENBURG PARK,STATEN ISLAND,1,22.882,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ST. NICHOLAS PARK,MANHATTAN,1,22.74,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
SOUTH BROTHER ISLAND,BRONX,1,22.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LOCUST POINT MARINA,BRONX,1,22.07,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BATTERY PARK,MANHATTAN,1,21.88,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
BROOKLYN BRIDGE PARK,BROOKLYN,1,21.185,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
ASSER LEVY PARK,BROOKLYN,1,21.039,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SEASIDE WILDLIFE NATURE PARK,STATEN ISLAND,1,20.907,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WAVE HILL,BRONX,1,20.867,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
QUEENSBRIDGE PARK,QUEENS,1,20.34,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARCUS GARVEY PARK,MANHATTAN,1,20.165,ONE ACRE OR LARGER,0,0,0,0,,0,0,0
ISHAM PARK,MANHATTAN,1,20.132,ONE ACRE OR LARGER,0,0,0,0,,0,0,0
WILLIAMSBRIDGE OVAL,BRONX,1,19.749,ONE ACRE OR LARGER,0,0,1,1,,0,0,2
BRANT POINT WILDLIFE SANCTUARY,QUEENS,1,19.556,ONE ACRE OR LARGER,0,0,0,0,,0,0,0
BROAD CHANNEL AMERICAN PARK,QUEENS,1,18.768,ONE ACRE OR LARGER,0,0,0,0,,0,0,0
THEODORE ROOSEVELT PARK,MANHATTAN,1,17.574,ONE ACRE OR LARGER,0,0,0,0,,0,0,0
BENSONHURST PARK,BROOKLYN,1,17.5,ONE ACRE OR LARGER,0,0,1,0,,0,0,1
LINCOLN TERRACE / ARTHUR S. SOMERS PARK,BROOKLYN,1,17.14,ONE ACRE OR LARGER,0,0,0,0,,0,0,0
JOHN GOLDEN PARK,QUEENS,1,17,ONE ACRE OR LARGER,0,0,0,0,,0,0,0
BAYVIEW TERRACE PARK,STATEN ISLAND,1,16.944,ONE ACRE OR LARGER,0,0,0,0,,0,0,0
JONES WOODS PARK,STATEN ISLAND,1,16.93,ONE ACRE OR LARGER,0,0,0,0,,0,0,0
FRANCIS LEWIS PARK,QUEENS,1,16.831,ONE ACRE OR LARGER,0,0,0,0,,0,0,0
LEIF ERICSON PARK,BROOKLYN,1,16.8,ONE ACRE OR LARGER,0,0,0,0,,0,0,0
EIBS POND PARK,STATEN ISLAND,1,16.505,ONE ACRE OR LARGER,0,0,0,0,,0,0,0
RAILROAD PARK QUEENS,QUEENS,1,16.439,ONE ACRE OR LARGER,0,0,0,0,,0,0,0
BREUKELEN BALLFIELDS,BROOKLYN,1,16.16,ONE ACRE OR LARGER,0,0,0,0,,0,0,0
FRANZ SIGEL PARK,BRONX,1,15.99,ONE ACRE OR LARGER,0,0,0,0,,0,0,0
THOMAS JEFFERSON PARK,MANHATTAN,1,15.524,ONE ACRE OR LARGER,0,0,0,1,,0,0,1
ALICE AUSTEN PARK,STATEN ISLAND,1,15.524,ONE ACRE OR LARGER,0,0,0,0,,0,0,0
MILL POND PARK,BRONX,1,15.496,ONE ACRE OR LARGER,0,0,0,0,,0,0,0
SHERMAN CREEK,MANHATTAN,1,15.383,ONE ACRE OR LARGER,0,0,0,0,,0,0,0
HARRIS PARK,BRONX,1,15.32,ONE ACRE OR LARGER,0,0,0,0,,0,0,0
GOODHUE,STATEN ISLAND,1,15.064,ONE ACRE OR LARGER,0,0,0,0,,0,0,0
MULLALY PARK,BRONX,1,15.049,ONE ACRE OR LARGER,0,0,0,0,,0,0,0
TREMONT PARK,BRONX,1,15,ONE ACRE OR LARGER,0,0,0,0,,0,0,0
CARL SCHURZ PARK,MANHATTAN,1,14.938,ONE ACRE OR LARGER,0,0,0,0,,0,0,0
GRAND ARMY PLAZA BROOKLYN,BROOKLYN,1,14.257,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
VON BRIESEN PARK,STATEN ISLAND,1,13.938,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MOTOR PARKWAY,QUEENS,1,13.894,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 116TH STREET TO BEACH 108TH STREET,QUEENS,1,13.826,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BEACH 17 PLAYGROUND,QUEENS,1,13.75,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TUDOR PARK,QUEENS,1,13.543,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
AQUEDUCT WALK,BRONX,1,13.533,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
FATHER MACRIS PARK,STATEN ISLAND,1,13.469,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
STARLIGHT PARK,BRONX,1,12.93,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JACKIE ROBINSON PARK MANHATTAN,MANHATTAN,1,12.772,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BROOKLYN MUSEUM,BROOKLYN,1,12.66,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BEACH CHANNEL PARK,QUEENS,1,12.624,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GREENBELT NATIVE PLANT CENTER,STATEN ISLAND,1,12.247,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BOWNE PARK,QUEENS,1,11.788,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SETON PARK,BRONX,1,11.689,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RUFUS KING PARK,QUEENS,1,11.5,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FRANK GOLDEN PARK,QUEENS,1,11.422,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ST. JAMES PARK,BRONX,1,11.39,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RICHMOND TERRACE WETLANDS,STATEN ISLAND,1,11.193,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BARRETTO POINT PARK,BRONX,1,11.161,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ST. ALBANS PARK,QUEENS,1,10.79,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GEMINI FIELDS,QUEENS,1,10.761,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GIVANS CREEK WOODS,BRONX,1,10.735,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BETSY HEAD PARK,BROOKLYN,1,10.555,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TOMPKINS SQUARE PARK,MANHATTAN,1,10.502,ONE ACRE OR LARGER,0,0,0,0,0,2,0,2
CPL. THOMPSON PARK,STATEN ISLAND,1,10.5,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
COMMODORE BARRY PARK,BROOKLYN,1,10.391,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CADMAN PLAZA PARK,BROOKLYN,1,10.384,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BROADWAY MALLS,MANHATTAN,1,10.242,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
STEEPLECHASE PARK,BROOKLYN,1,10.01,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HUNTER'S POINT SOUTH PARK,QUEENS,1,10,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNNAMED PARK ON RICHMOND TERRACE,STATEN ISLAND,1,9.934,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HYBRID OAK WOODS PARK,STATEN ISLAND,1,9.763,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WASHINGTON SQUARE PARK,MANHATTAN,1,9.749,ONE ACRE OR LARGER,0,0,0,0,0,2,0,2
BRYANT PARK,MANHATTAN,1,9.603,ONE ACRE OR LARGER,0,0,0,0,0,2,0,2
ROCKAWAY FREEWAY,QUEENS,1,9.404,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BICENTENNIAL VETERANS MEMORIAL PARK,BRONX,1,9.395,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SUNSET COVE PARK,QUEENS,1,9.375,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ST. JOHN'S RECREATION CENTER,BROOKLYN,1,9.339,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LINDEN PARK,BROOKLYN,1,9.322,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HAFFEN PARK,BRONX,1,9.238,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ALLISON POND PARK,STATEN ISLAND,1,9.2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GRANITEVILLE SWAMP PARK,STATEN ISLAND,1,9.187,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TOTTENVILLE SHORE PARK,STATEN ISLAND,1,9.181,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CAPTAIN TILLY PARK,QUEENS,1,9.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HARVEY PARK,QUEENS,1,9.154,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MSGR. MCGOLRICK PARK,BROOKLYN,1,9.134,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BUSHWICK INLET PARK,BROOKLYN,1,9.01,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HENRY HUDSON PARK,BRONX,1,8.972,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FRANK PRINCIPE PARK,QUEENS,1,8.899,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CASTLE HILL PARK,BRONX,1,8.834,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ROCHDALE PARK,QUEENS,1,8.833,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ABE STARK SKATING RINK,BROOKLYN,1,8.807,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CITY HALL PARK,MANHATTAN,1,8.8,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EAST RIVER WATERFRONT ESPLANADE,MANHATTAN,1,8.761,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CROTONA PARKWAY MALLS,BRONX,1,8.75,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CONEY ISLAND CREEK PARK,BROOKLYN,1,8.663,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MILL ROCK PARK,MANHATTAN,1,8.639,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EAST RIVER ESPLANADE E 90TH ST TO E 125TH ST,MANHATTAN,1,8.595,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JOHN J CARTY PARK,BROOKLYN,1,8.565,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
COFFEY PARK,BROOKLYN,1,8.271,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BARRETT PARK,STATEN ISLAND,1,8.108,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RAINEY PARK QUEENS,QUEENS,1,8.09,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LAGUARDIA LANDING LIGHTS,QUEENS,1,8.03,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CITY ISLAND WETLANDS,BRONX,1,8.005,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SARA D. ROOSEVELT PARK,MANHATTAN,1,7.85,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
EWEN PARK,BRONX,1,7.84,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HERBERT VON KING PARK,BROOKLYN,1,7.819,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MOUNT PROSPECT PARK,BROOKLYN,1,7.79,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RAINEY PARK BRONX,BRONX,1,7.738,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
DETECTIVE KEITH L WILLIAMS PARK,QUEENS,1,7.683,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FLUSHING FIELDS,QUEENS,1,7.671,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PALMER INLET,BRONX,1,7.49,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MIDLAND FIELD,STATEN ISLAND,1,7.463,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SCHMUL PARK,STATEN ISLAND,1,7.395,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
